Y	M	L	ENSO	(m,m0)_(CV)
2015 05 4 1 6248.39
2016 05 4 1 1265.44
1983 03 0 1 0.416 1.17
1984 03 0 0 0.614 0.191
1985 03 0 1 316.1 72.2
1986 03 0 0 1.99 4.85
1987 03 0 1 139.6 147.5
1988 03 0 0 35.6 66.0
1989 03 0 1 2.71 0.354
1990 03 0 0 221.6 0.0
1991 03 0 0 3.54 62.8
1992 03 0 1 912.6 912.8
1993 03 0 1 111.6 87.3
1994 03 0 0 19.4 0.0
1995 03 0 0 10.1 2.73
1996 03 0 0 0.0 0.0
1997 03 0 0 80.9 10.4
1998 03 0 1 26.1 3.04
1999 03 0 1 263.6 106.4
2000 03 0 1 35.9 2.77
2001 03 0 0 93.3 89.9
2002 03 0 0 9.59 56.5
2003 03 0 1 63.5 80.9
2004 03 0 0 299.0 88.6
2005 03 0 0 469.1 232.2
2006 03 0 1 0.132 0.171
2007 03 0 0 5.35 13.0
2008 03 0 1 17.5 56.0
2009 03 0 1 0.000 0.059
2010 03 0 1 10.2 257.3
2011 03 0 1 0.163 0.838
2012 03 0 0 49.3 0.0
2013 03 0 0 0.0 13.0
2014 03 0 0 0.150 0.195
2015 03 0 1 42.4 0.0
2016 03 0 1 13.8 6.30
1983 03 1 1 38.8781
1984 03 1 0 9.37417
1985 03 1 1 3.57486
1986 03 1 0 2.4677
1987 03 1 1 35.5922
1988 03 1 0 4.45262
1989 03 1 1 3.94019
1990 03 1 0 10.6693
1991 03 1 0 4.84908
1992 03 1 1 45.5477
1993 03 1 1 24.9733
1994 03 1 0 7.9581
1995 03 1 0 44.4719
1996 03 1 0 2.94217
1997 03 1 0 13.3688
1998 03 1 1 78.8115
1999 03 1 1 0.28353
2000 03 1 1 0.00437711
2001 03 1 0 137.196
2002 03 1 0 6.34367
2003 03 1 1 7.33759
2004 03 1 0 15.7651
2005 03 1 0 22.8003
2006 03 1 1 1.49813
2007 03 1 0 2.28416
2008 03 1 1 1.55164
2009 03 1 1 2.39552
2010 03 1 1 24.392
2011 03 1 1 0.573537
2012 03 1 0 1.50311
2013 03 1 0 2.84126
2014 03 1 0 14.7454
2015 03 1 1 29.3695
2016 03 1 1 5.24145
1983 04 2 1 1.10996
1984 04 2 0 0.296728
1985 04 2 1 198.076
1986 04 2 0 0.593176
1987 04 2 1 216.946
1988 04 2 0 10.1299
1989 04 2 1 1.02637
1990 04 2 0 179.27
1991 04 2 0 0.93154
1992 04 2 1 1481.95
1993 04 2 1 206.62
1994 04 2 0 6.52491
1995 04 2 0 8.24974
1996 04 2 0 -9.64179e-05
1997 04 2 1 88.9346
1998 04 2 1 8.76904
