Y	M	Lead	P-Y	P-M	Streamflow_CV
2006 02 3 2006 04 0.055113
2007 02 3 2007 04 2.44259
2008 02 3 2008 04 5.23394
2009 02 3 2009 04 3.28757e-05
2010 02 3 2010 04 4.10307
2011 02 3 2011 04 0.042622
2012 02 3 2012 04 80.5092
2013 02 3 2013 04 6.57713e-05
2014 02 3 2014 04 0.0154524
2015 02 3 2015 04 10.0504
2016 02 3 2016 04 4.54453
1982 02 4 1982 05 36.4261
1983 02 4 1983 05 0.702508
1984 02 4 1984 05 0.219861
1985 02 4 1985 05 259.758
1986 02 4 1986 05 1.64356
1987 02 4 1987 05 86.4316
1988 02 4 1988 05 25.4146
1989 02 4 1989 05 3.0665
1990 02 4 1990 05 175.05
1991 02 4 1991 05 52.4288
1992 02 4 1992 05 320.651
1993 02 4 1993 05 28.0241
1994 02 4 1994 05 1.15446
1995 02 4 1995 05 101.002
1996 02 4 1996 05 0.0381941
1997 02 4 1997 05 208.302
1998 02 4 1998 05 11.1972
1999 02 4 1999 05 329.003
2000 02 4 2000 05 68.5438
2001 02 4 2001 05 81.9133
2002 02 4 2002 05 0.649968
2003 02 4 2003 05 47.1547
2004 02 4 2004 05 849.162
2005 02 4 2005 05 233.868
2006 02 4 2006 05 0.696695
2007 02 4 2007 05 8.55049
2008 02 4 2008 05 6.8689
2009 02 4 2009 05 0.000219684
2010 02 4 2010 05 396.256
2011 02 4 2011 05 0.0654677
2012 02 4 2012 05 181.764
2013 02 4 2013 05 0.099592
2014 02 4 2014 05 2.20879
2015 02 4 2015 05 6248.39
2016 02 4 2016 05 1265.44
1982 03 0 1982 03 92.1004
1983 03 0 1983 03 0.416
1984 03 0 1984 03 0.614
1985 03 0 1985 03 316.1
1986 03 0 1986 03 1.99
1987 03 0 1987 03 139.6
1988 03 0 1988 03 35.6001
1989 03 0 1989 03 2.71
1990 03 0 1990 03 221.599
1991 03 0 1991 03 3.53998
1992 03 0 1992 03 912.602
1993 03 0 1993 03 111.6
1994 03 0 1994 03 19.4
1995 03 0 1995 03 10.1
1996 03 0 1996 03 3.71976e-11
1997 03 0 1997 03 80.9004
1998 03 0 1998 03 26.1
1999 03 0 1999 03 263.599
2000 03 0 2000 03 35.9
2001 03 0 2001 03 93.2999
2002 03 0 2002 03 9.58999
2003 03 0 2003 03 63.4999
2004 03 0 2004 03 298.999
2005 03 0 2005 03 469.102
2006 03 0 2006 03 0.131999
2007 03 0 2007 03 5.35003
2008 03 0 2008 03 17.5001
2009 03 0 2009 03 3.71976e-11
2010 03 0 2010 03 10.2
2011 03 0 2011 03 0.163
2012 03 0 2012 03 49.3002
