"","Year","Month","Lead","Obs","Clim","CFSv2","ECHAM4p5","Date","D_F"
"403",1999,12,1,0,39.503,0.752407,0.689341,Dec 1999,-1
"19",2000,1,1,0.329,27.3461,0.432529,0.590762,Jan 2000,-1
"54",2000,2,1,1.89,40.1112,0.313652,0.333368,Feb 2000,0
"89",2000,3,1,685,54.4409,1.96895,2.60219,Mar 2000,1
"124",2000,4,1,56.1,60.8048,441.688,1813.27,Apr 2000,0
"159",2000,5,1,46.9,175.237,25.0898,10.2926,May 2000,0
"194",2000,6,1,167.9,257.06,117.551,51.2584,Jun 2000,0
"229",2000,7,1,52.6,117.05,11.9859,40.4288,Jul 2000,0
"264",2000,8,1,7.19,90.9749,15.4985,54.5843,Aug 2000,0
"299",2000,9,1,0.005,102.048,0.971873,11.8952,Sep 2000,-1
"334",2000,10,1,102,119.596,9.7716,10.5895,Oct 2000,0
"369",2000,11,1,134.2,69.0037,105.027,70.9365,Nov 2000,0
"404",2000,12,1,70.3,39.503,163.609,32.6715,Dec 2000,0
"20",2001,1,1,77.1,27.3461,33.7136,17.2007,Jan 2001,0
"55",2001,2,1,81.4,40.1112,138.225,90.8338,Feb 2001,0
"90",2001,3,1,114.6,54.4409,39.8393,57.3362,Mar 2001,0
"125",2001,4,1,28.8,60.8048,148.227,62.571,Apr 2001,0
"160",2001,5,1,11.4,175.237,32.6545,41.9689,May 2001,0
"195",2001,6,1,74.1,257.06,99.9756,126.892,Jun 2001,0
"230",2001,7,1,14.9,117.05,8.38641,20.1388,Jul 2001,0
"265",2001,8,1,10.2,90.9749,9.74973,10.281,Aug 2001,0
"300",2001,9,1,11.4,102.048,13.925,7.32059,Sep 2001,0
"335",2001,10,1,2.79,119.596,29.8557,25.2353,Oct 2001,0
"370",2001,11,1,41.1,69.0037,0.729465,0.751916,Nov 2001,0
"405",2001,12,1,23.7,39.503,10.5888,45.1493,Dec 2001,0
"21",2002,1,1,6.3,27.3461,16.9675,10.8809,Jan 2002,0
"56",2002,2,1,9.27,40.1112,5.30016,6.53773,Feb 2002,0
"91",2002,3,1,27.3,54.4409,15.1571,8.26784,Mar 2002,0
"126",2002,4,1,39.9,60.8048,25.0501,30.5723,Apr 2002,0
"161",2002,5,1,25,175.237,24.0753,71.8798,May 2002,0
"196",2002,6,1,10.4,257.06,94.9942,127.864,Jun 2002,0
"231",2002,7,1,135.4,117.05,2.79702,2.06802,Jul 2002,0
"266",2002,8,1,17.3,90.9749,54.2063,45.4465,Aug 2002,0
"301",2002,9,1,5.57,102.048,8.88826,28.3286,Sep 2002,0
"336",2002,10,1,50.2,119.596,28.1127,22.5625,Oct 2002,0
"371",2002,11,1,50.7,69.0037,30.9671,28.0804,Nov 2002,0
"406",2002,12,1,35.7,39.503,44.5438,53.7456,Dec 2002,0
"22",2003,1,1,16.7,27.3461,23.2341,28.796,Jan 2003,0
"57",2003,2,1,9.79,40.1112,17.3329,16.3172,Feb 2003,0
"92",2003,3,1,5.66,54.4409,13.4121,10.6257,Mar 2003,0
"127",2003,4,1,4.61,60.8048,5.07675,5.77341,Apr 2003,0
"162",2003,5,1,4.67,175.237,25.9618,82.115,May 2003,0
"197",2003,6,1,254.6,257.06,20.9516,26.4279,Jun 2003,1
"232",2003,7,1,17.2,117.05,32.5108,49.8533,Jul 2003,0
"267",2003,8,1,35.8,90.9749,1.22566,5.6577,Aug 2003,0
"302",2003,9,1,33.9,102.048,6.82711,33.8703,Sep 2003,0
