Y	M	L	ENSO	(m,m0)_(CV)
2003 03 0 1 5.66 9.79
2004 03 0 0 185.1 5.35
2005 03 0 0 78.3 88.5
2006 03 0 1 14.4 12.3
2007 03 0 0 76.3 34.0
2008 03 0 1 8.70 13.8
2009 03 0 1 16.5 23.9
2010 03 0 1 58.4 51.0
2011 03 0 1 15.2 23.8
2012 03 0 0 1.58 1.93
2013 03 0 0 0.303 1.08
2014 03 0 0 4.31 10.7
2015 03 0 1 23.9 29.5
2016 03 0 1 20.4 25.6
1982 03 1 0 14.7963
1983 03 1 1 14.8055
1984 03 1 0 21.1997
1985 03 1 1 44.3436
1986 03 1 0 12.29
1987 03 1 1 64.378
1988 03 1 0 15.9884
1989 03 1 1 84.351
1990 03 1 0 10.2605
1991 03 1 0 11.514
1992 03 1 1 119.083
1993 03 1 1 21.8611
1994 03 1 0 7.37172
1995 03 1 0 3.01023
1996 03 1 0 5.38746
1997 03 1 0 46.9854
1998 03 1 1 9.88471
1999 03 1 1 0.0277672
2000 03 1 1 2.60209
2001 03 1 0 57.3361
2002 03 1 0 8.26774
2003 03 1 1 10.6256
2004 03 1 0 6.13257
2005 03 1 0 48.2652
2006 03 1 1 9.33562
2007 03 1 0 27.6392
2008 03 1 1 21.1628
2009 03 1 1 28.66
2010 03 1 1 71.4619
2011 03 1 1 31.9196
2012 03 1 0 11.1216
2013 03 1 0 4.78891
2014 03 1 0 9.22353
2015 03 1 1 21.2955
2016 03 1 1 25.8542
1982 04 2 0 29.3767
1983 04 2 1 13.044
1984 04 2 0 5.51341
1985 04 2 1 42.7159
1986 04 2 0 7.15177
1987 04 2 1 58.4394
1988 04 2 0 9.4388
1989 04 2 1 8.58482
1990 04 2 0 74.6785
1991 04 2 0 6.84176
1992 04 2 1 69.2106
1993 04 2 1 38.1012
1994 04 2 0 1.5292
1995 04 2 0 0.0413896
1996 04 2 0 0.236214
1997 04 2 1 26.4361
1998 04 2 1 12.3555
1999 04 2 1 4.16897
2000 04 2 1 1981.63
2001 04 2 0 136.305
2002 04 2 0 32.8554
2003 04 2 0 5.61438
2004 04 2 0 174.725
2005 04 2 1 71.7891
2006 04 2 0 15.2756
2007 04 2 0 54.6058
2008 04 2 1 7.78789
2009 04 2 0 9.84328
2010 04 2 1 16.5213
2011 04 2 1 26.158
2012 04 2 0 1.48266
2013 04 2 0 0.418774
2014 04 2 0 3.09891
2015 04 2 1 16.0345
2016 04 2 1 9.7698
1982 05 3 1 20.4065
1983 05 3 1 145.33
1984 05 3 0 23.8191
