Y	M	Lead	P-Y	P-M	Streamflow_CV
2005 02 4 2005 05 94.1426
2006 02 4 2006 05 40.6473
2007 02 4 2007 05 73.9036
2008 02 4 2008 05 24.8893
2009 02 4 2009 05 13.2986
2010 02 4 2010 05 22.7176
1983 03 0 1983 03 13.9001
1984 03 0 1984 03 6.30999
1985 03 0 1985 03 59.1998
1986 03 0 1986 03 8.47998
1987 03 0 1987 03 109
1988 03 0 1988 03 11.8
1989 03 0 1989 03 9.39004
1990 03 0 1990 03 111
1991 03 0 1991 03 6.22999
1992 03 0 1992 03 123.7
1993 03 0 1993 03 33.6
1994 03 0 1994 03 1.23
1995 03 0 1995 03 0.0419999
1996 03 0 1996 03 0.206001
1997 03 0 1997 03 30.5
1998 03 0 1998 03 20.6001
1999 03 0 1999 03 2.89
2000 03 0 2000 03 685.001
2001 03 0 2001 03 114.6
2002 03 0 2002 03 27.3
2003 03 0 2003 03 5.65999
2004 03 0 2004 03 185.101
2005 03 0 2005 03 78.3001
2006 03 0 2006 03 14.4001
2007 03 0 2007 03 76.2997
2008 03 0 2008 03 8.69996
2009 03 0 2009 03 16.5001
2010 03 0 2010 03 58.4001
1984 03 1 1984 03 26.0342
1985 03 1 1985 03 56.1378
1986 03 1 1986 03 13.3731
1987 03 1 1987 03 61.0194
1988 03 1 1988 03 19.0181
1989 03 1 1989 03 161.655
1990 03 1 1990 03 11.685
1991 03 1 1991 03 12.4984
1992 03 1 1992 03 100.206
1993 03 1 1993 03 22.2701
1994 03 1 1994 03 11.1314
1995 03 1 1995 03 8.81197
1996 03 1 1996 03 10.3854
1997 03 1 1997 03 56.2043
1998 03 1 1998 03 9.33488
1999 03 1 1999 03 0.0529523
2000 03 1 2000 03 3.64031
2001 03 1 2001 03 64.3098
2002 03 1 2002 03 10.001
2003 03 1 2003 03 12.6356
2004 03 1 2004 03 7.54966
2005 03 1 2005 03 49.2385
2006 03 1 2006 03 11.9049
2007 03 1 2007 03 30.7328
2008 03 1 2008 03 37.9384
2009 03 1 2009 03 44.718
2010 03 1 2010 03 151.448
1984 03 2 1984 04 5.79773
1985 03 2 1985 04 47.6519
1986 03 2 1986 04 8.19467
1987 03 2 1987 04 49.6673
1988 03 2 1988 04 10.4061
1989 03 2 1989 04 11.9271
1990 03 2 1990 04 73.4482
