X	Y	S	mean [ IRI FD ECHAM4p5 Forecast ca_sst ensemble24 MONTHLY st ]
degree_east	degree_north	months since 1960-01-01	Kelvin_scale
   -101.2500    	    32.09194    	    19.00000    	    307.7079    
   -98.43750    	    32.09194    	    19.00000    	    308.4741    
   -101.2500    	    29.30136    	    19.00000    	    306.3459    
   -98.43750    	    29.30136    	    19.00000    	    308.8143    
   -101.2500    	    32.09194    	    20.00000    	    304.2962    
   -98.43750    	    32.09194    	    20.00000    	    305.3854    
   -101.2500    	    29.30136    	    20.00000    	    302.9267    
   -98.43750    	    29.30136    	    20.00000    	    306.6123    
   -101.2500    	    32.09194    	    21.00000    	    298.2807    
   -98.43750    	    32.09194    	    21.00000    	    299.2396    
   -101.2500    	    29.30136    	    21.00000    	    298.1584    
   -98.43750    	    29.30136    	    21.00000    	    301.4264    
   -101.2500    	    32.09194    	    22.00000    	    289.5345    
   -98.43750    	    32.09194    	    22.00000    	    290.5579    
   -101.2500    	    29.30136    	    22.00000    	    291.3901    
   -98.43750    	    29.30136    	    22.00000    	    294.7915    
   -101.2500    	    32.09194    	    23.00000    	    282.7130    
   -98.43750    	    32.09194    	    23.00000    	    283.4720    
   -101.2500    	    29.30136    	    23.00000    	    285.1677    
   -98.43750    	    29.30136    	    23.00000    	    288.4917    
   -101.2500    	    32.09194    	    24.00000    	    282.3625    
   -98.43750    	    32.09194    	    24.00000    	    282.7301    
   -101.2500    	    29.30136    	    24.00000    	    284.7695    
   -98.43750    	    29.30136    	    24.00000    	    287.7862    
   -101.2500    	    32.09194    	    25.00000    	    285.3810    
   -98.43750    	    32.09194    	    25.00000    	    285.4986    
   -101.2500    	    29.30136    	    25.00000    	    287.7878    
   -98.43750    	    29.30136    	    25.00000    	    290.6693    
   -101.2500    	    32.09194    	    26.00000    	    290.3785    
   -98.43750    	    32.09194    	    26.00000    	    290.4737    
   -101.2500    	    29.30136    	    26.00000    	    292.2891    
   -98.43750    	    29.30136    	    26.00000    	    295.2392    
   -101.2500    	    32.09194    	    27.00000    	    295.2354    
   -98.43750    	    32.09194    	    27.00000    	    295.2678    
   -101.2500    	    29.30136    	    27.00000    	    296.1584    
   -98.43750    	    29.30136    	    27.00000    	    299.1111    
   -101.2500    	    32.09194    	    28.00000    	    301.1664    
   -98.43750    	    32.09194    	    28.00000    	    301.3622    
   -101.2500    	    29.30136    	    28.00000    	    300.8616    
   -98.43750    	    29.30136    	    28.00000    	    304.0445    
   -101.2500    	    32.09194    	    29.00000    	    306.5235    
   -98.43750    	    32.09194    	    29.00000    	    307.4476    
   -101.2500    	    29.30136    	    29.00000    	    304.9427    
   -98.43750    	    29.30136    	    29.00000    	    308.1038    
   -101.2500    	    32.09194    	    30.00000    	    308.7833    
   -98.43750    	    32.09194    	    30.00000    	    309.3987    
   -101.2500    	    29.30136    	    30.00000    	    307.0365    
   -98.43750    	    29.30136    	    30.00000    	    309.3647    
   -101.2500    	    32.09194    	    31.00000    	    308.5596    
   -98.43750    	    32.09194    	    31.00000    	    309.3266    
   -101.2500    	    29.30136    	    31.00000    	    306.7775    
   -98.43750    	    29.30136    	    31.00000    	    309.4219    
   -101.2500    	    32.09194    	    32.00000    	    305.0145    
   -98.43750    	    32.09194    	    32.00000    	    305.4478    
   -101.2500    	    29.30136    	    32.00000    	    303.7958    
   -98.43750    	    29.30136    	    32.00000    	    306.9698    
   -101.2500    	    32.09194    	    33.00000    	    298.4028    
   -98.43750    	    32.09194    	    33.00000    	    299.1489    
   -101.2500    	    29.30136    	    33.00000    	    298.2449    
   -98.43750    	    29.30136    	    33.00000    	    301.5079    
   -101.2500    	    32.09194    	    34.00000    	    290.8029    
   -98.43750    	    32.09194    	    34.00000    	    291.8180    
   -101.2500    	    29.30136    	    34.00000    	    292.5714    
   -98.43750    	    29.30136    	    34.00000    	    296.0073    
   -101.2500    	    32.09194    	    35.00000    	    283.8144    
   -98.43750    	    32.09194    	    35.00000    	    284.3455    
   -101.2500    	    29.30136    	    35.00000    	    286.0358    
   -98.43750    	    29.30136    	    35.00000    	    289.2105    
   -101.2500    	    32.09194    	    36.00000    	    283.3193    
   -98.43750    	    32.09194    	    36.00000    	    283.6491    
   -101.2500    	    29.30136    	    36.00000    	    285.8954    
   -98.43750    	    29.30136    	    36.00000    	    288.7943    
   -101.2500    	    32.09194    	    37.00000    	    284.2671    
   -98.43750    	    32.09194    	    37.00000    	    284.3628    
   -101.2500    	    29.30136    	    37.00000    	    286.7491    
   -98.43750    	    29.30136    	    37.00000    	    289.5606    
   -101.2500    	    32.09194    	    38.00000    	    288.9794    
   -98.43750    	    32.09194    	    38.00000    	    288.9777    
   -101.2500    	    29.30136    	    38.00000    	    290.5062    
