 Month
	 Year	Observed	ECHAM4p5	W1	wECHAM4p5	CFSv2	W2	wCFSv2	Climatology	W3	wClimatology	Combination	R2	MSSS
	 2006	129	181.729992011228	1156.7703822771	53.908542819949	183.092261661098	1052.27179972384	59.7063061348723	600.261111111111	909.573671281032	226.45424849645	340.069097451271	0.780277777777778	-1.10662242524527   
	 2007	103.7	195.377178443651	1156.7703822771	57.9568560676524	170.759660113269	1052.27179972384	55.6846501851685	600.261111111111	909.573671281032	226.45424849645	340.09575474927	0.780277777777778	-1.10662242524527 
	 2008	197.8	210.174001097718	1156.7703822771	62.3461984035983	217.499804121694	1052.27179972384	70.9265906234845	600.261111111111	909.573671281032	226.45424849645	359.727037523532	0.780277777777778	-1.10662242524527
	 2009	100.6	125.838514869826	1156.7703822771	37.3288464506161	97.2006542953478	1052.27179972384	31.6970906864984	600.261111111111	909.573671281032	226.45424849645	295.480185633564	0.780277777777778	-1.10662242524527
	 2010	1083	230.382752528294	1156.7703822771	68.3409399967504	623.913731738627	1052.27179972384	203.457993969671	600.261111111111	909.573671281032	226.45424849645	498.253182462871	0.780277777777778	-1.10662242524527 
 03
	 2002	201.4	238.932243108188	615.580941426025	66.0434569404239	261.587174301793	379.237432691571	117.366850751717	526.944444444444	618.925507294898	144.866061036284	328.276368728425	0.444444444444444	-0.198796266178563
	 2003	198.4	432.592805086203	615.580941426025	119.573331434014	164.55728130364	379.237432691571	73.8322508602449	526.944444444444	618.925507294898	144.866061036284	338.271643330543	0.444444444444444	-0.198796266178563 
	 2004	225.9	207.413820868694	615.580941426025	57.3314240438777	326.654671496203	379.237432691571	146.56081736108	526.944444444444	618.925507294898	144.866061036284	348.758302441241	0.444444444444444	-0.198796266178563 
	 2005	487.3	487.028247223309	615.580941426025	134.619876563493	284.874082748238	379.237432691571	127.815035435839	526.944444444444	618.925507294898	144.866061036284	407.300973035616	0.444444444444444	-0.198796266178563
	 2006	127.5	157.765561613066	615.580941426025	43.6081080541166	158.741360024842	379.237432691571	71.2228096040584	526.944444444444	618.925507294898	144.866061036284	259.696978694459	0.444444444444444	-0.198796266178563
	 2007	852	281.456560181035	615.580941426025	77.7976382388009	201.310959362507	379.237432691571	90.3225985190146	526.944444444444	618.925507294898	144.866061036284	312.986297794099	0.444444444444444	-0.198796266178563  
	 2008	195.5	135.303125962313	615.580941426025	37.3992478250439	146.354122248274	379.237432691571	65.66500237888	526.944444444444	618.925507294898	144.866061036284	247.930311240208	0.444444444444444	-0.198796266178563  
	 2009	154.5	194.369770631494	615.580941426025	53.7259074381547	221.439951213568	379.237432691571	99.3539143267247	526.944444444444	618.925507294898	144.866061036284	297.945882801163	0.444444444444444	-0.198796266178563
	 2010	451.8	662.150644913893	615.580941426025	183.025601888496	590.015797089671	379.237432691571	264.723590455116	526.944444444444	618.925507294898	144.866061036284	592.615253379895	0.444444444444444	-0.198796266178563
 04
	 2002	179.4	197.707800591402	139.67624648505	74.2234388363162	150.544003826932	140.846304610339	56.0477042104291	274.933333333333	207.854176982058	69.3599008764182	199.631043923164	0.187777777777778	-113.738020694013
	 2003	108.5	164.465762117368	139.67624648505	61.743716730808	216.74699143317	140.846304610339	80.6951519524647	274.933333333333	207.854176982058	69.3599008764182	211.798769559691	0.187777777777778	-113.738020694013  
	 2004	663	191.671299057356	139.67624648505	71.9572161528544	196.349961753696	140.846304610339	73.1013145548574	274.933333333333	207.854176982058	69.3599008764182	214.41843158413	0.187777777777778	-113.738020694013   
	 2005	254	350.909863276048	139.67624648505	131.738538874133	232.771687692174	140.846304610339	86.6611646341728	274.933333333333	207.854176982058	69.3599008764182	287.759604384724	0.187777777777778	-113.738020694013  
