Y	M	Lead	P-Y	P-M	Streamflow_CV
2010 03 2 2010 04 76.4908
1984 03 3 1984 05 90.3673
1985 03 3 1985 05 918.545
1986 03 3 1986 05 70.6542
1987 03 3 1987 05 368.514
1988 03 3 1988 05 70.6078
1989 03 3 1989 05 58.2279
1990 03 3 1990 05 448.428
1991 03 3 1991 05 61.1169
1992 03 3 1992 05 647.357
1993 03 3 1993 05 318.573
1994 03 3 1994 05 30.2341
1995 03 3 1995 05 52.9914
1996 03 3 1996 05 73.8275
1997 03 3 1997 05 200.477
1998 03 3 1998 05 122.755
1999 03 3 1999 05 86.6319
2000 03 3 2000 05 34.1656
2001 03 3 2001 05 77.0591
2002 03 3 2002 05 228.174
2003 03 3 2003 05 32.6499
2004 03 3 2004 05 134.073
2005 03 3 2005 05 41.5792
2006 03 3 2006 05 45.0667
2007 03 3 2007 05 138.446
2008 03 3 2008 05 119.97
2009 03 3 2009 05 16.2391
2010 03 3 2010 05 607.498
1984 03 4 1984 06 347.196
1985 03 4 1985 06 983.976
1986 03 4 1986 06 76.5079
1987 03 4 1987 06 465.818
1988 03 4 1988 06 107.9
1989 03 4 1989 06 105.113
1990 03 4 1990 06 477.615
1991 03 4 1991 06 240.334
1992 03 4 1992 06 209.87
1993 03 4 1993 06 193.427
1994 03 4 1994 06 448.967
1995 03 4 1995 06 108.247
1996 03 4 1996 06 72.651
1997 03 4 1997 06 268.509
1998 03 4 1998 06 107.706
1999 03 4 1999 06 78.0162
2000 03 4 2000 06 18.571
2001 03 4 2001 06 178.547
2002 03 4 2002 06 223.359
2003 03 4 2003 06 29.767
2004 03 4 2004 06 64.1711
2005 03 4 2005 06 129.162
2006 03 4 2006 06 401.931
2007 03 4 2007 06 641.473
2008 03 4 2008 06 169.5
2009 03 4 2009 06 80.3249
2010 03 4 2010 06 170.979
1983 04 0 1983 04 42.6001
1984 04 0 1984 04 16.6999
1985 04 0 1985 04 282.099
1986 04 0 1986 04 33.6
1987 04 0 1987 04 177.101
1988 04 0 1988 04 44.6002
1989 04 0 1989 04 53.8003
1990 04 0 1990 04 817.303
1991 04 0 1991 04 36.1999
1992 04 0 1992 04 365.501
1993 04 0 1993 04 137.999
1994 04 0 1994 04 20.6001
1995 04 0 1995 04 32.7999
1996 04 0 1996 04 60.4
1997 04 0 1997 04 158.501
1998 04 0 1998 04 28.7
1999 04 0 1999 04 90.7001
2000 04 0 2000 04 18.3001
2001 04 0 2001 04 33.1001
2002 04 0 2002 04 231.699
2003 04 0 2003 04 14.4001
2004 04 0 2004 04 109.2
2005 04 0 2005 04 24.8001
2006 04 0 2006 04 39.2
2007 04 0 2007 04 142
2008 04 0 2008 04 248.201
2009 04 0 2009 04 11.6
2010 04 0 2010 04 693.999
1984 04 1 1984 04 42.2172
1985 04 1 1985 04 178.51
1986 04 1 1986 04 46.2421
1987 04 1 1987 04 302.821
1988 04 1 1988 04 36.0148
1989 04 1 1989 04 40.0887
1990 04 1 1990 04 264.711
1991 04 1 1991 04 53.3862
1992 04 1 1992 04 459.02
1993 04 1 1993 04 101.06
1994 04 1 1994 04 51.9724
1995 04 1 1995 04 38.2718
1996 04 1 1996 04 20.2467
1997 04 1 1997 04 139.257
1998 04 1 1998 04 122.011
1999 04 1 1999 04 37.5089
2000 04 1 2000 04 74.7508
2001 04 1 2001 04 93.0964
2002 04 1 2002 04 47.8093
2003 04 1 2003 04 33.8023
2004 04 1 2004 04 38.7341
2005 04 1 2005 04 76.9427
2006 04 1 2006 04 37.4603
2007 04 1 2007 04 19.8645
2008 04 1 2008 04 112.656
2009 04 1 2009 04 72.6074
2010 04 1 2010 04 187.479
1984 04 2 1984 05 106.42
1985 04 2 1985 05 690.555
1986 04 2 1986 05 66.4206
1987 04 2 1987 05 258.331
1988 04 2 1988 05 51.6749
1989 04 2 1989 05 74.3681
1990 04 2 1990 05 540.042
1991 04 2 1991 05 48.0641
1992 04 2 1992 05 546.052
1993 04 2 1993 05 361.408
1994 04 2 1994 05 21.8745
1995 04 2 1995 05 47.6483
1996 04 2 1996 05 145.118
1997 04 2 1997 05 230.14
1998 04 2 1998 05 50.3336
1999 04 2 1999 05 143.972
2000 04 2 2000 05 45.0132
2001 04 2 2001 05 52.4742
2002 04 2 2002 05 191.686
2003 04 2 2003 05 30.1249
2004 04 2 2004 05 125.419
2005 04 2 2005 05 55.8196
2006 04 2 2006 05 51.2638
2007 04 2 2007 05 157.482
2008 04 2 2008 05 155.789
2009 04 2 2009 05 18.7227
2010 04 2 2010 05 586.47
1984 04 3 1984 06 117.082
1985 04 3 1985 06 350.343
1986 04 3 1986 06 98.1839
1987 04 3 1987 06 451.973
1988 04 3 1988 06 73.8705
1989 04 3 1989 06 171.42
1990 04 3 1990 06 277.549
1991 04 3 1991 06 86.2842
1992 04 3 1992 06 366.493
1993 04 3 1993 06 243.171
1994 04 3 1994 06 224.822
1995 04 3 1995 06 68.5229
1996 04 3 1996 06 112.059
1997 04 3 1997 06 731.345
1998 04 3 1998 06 33.4245
1999 04 3 1999 06 374.368
2000 04 3 2000 06 72.8933
2001 04 3 2001 06 85.8597
2002 04 3 2002 06 83.5098
2003 04 3 2003 06 118.562
2004 04 3 2004 06 110.017
2005 04 3 2005 06 138.446
2006 04 3 2006 06 1332.16
2007 04 3 2007 06 759.922
2008 04 3 2008 06 116.523
2009 04 3 2009 06 112.597
2010 04 3 2010 06 39.0712
1984 04 4 1984 07 0.227975
1985 04 4 1985 07 29.2122
1986 04 4 1986 07 332.436
1987 04 4 1987 07 446.116
1988 04 4 1988 07 29.7833
1989 04 4 1989 07 79.7113
1990 04 4 1990 07 39.4609
1991 04 4 1991 07 1958.08
1992 04 4 1992 07 256.67
1993 04 4 1993 07 83.4716
1994 04 4 1994 07 3.3781
1995 04 4 1995 07 88.1468
1996 04 4 1996 07 79.3316
1997 04 4 1997 07 144.184
