Y M L ENSO 0.0001 0.0001
1987 03 3 1 624.605 465.991
1988 03 3 0 279.939 278.043
1989 03 3 1 265.139 290.639
1990 03 3 0 203.116 274.875
1991 03 3 0 242.669 237.361
1992 03 3 1 2402.1 2769.7
1993 03 3 1 357.789 511.31
1994 03 3 0 182.944 246.174
1995 03 3 0 204.497 280.909
1996 03 3 0 182.431 165.706
1997 03 3 0 902.332 985.207
1998 03 3 1 392.121 426.371
1999 03 3 1 214.383 138.533
2000 03 3 1 172.959 107.827
2001 03 3 0 568.875 519.093
2002 03 3 0 416.56 291.626
2003 03 3 1 298.412 262.748
2004 03 3 0 271.119 214.909
2005 03 3 0 410.179 381.441
2006 03 3 1 103.255 154.09
2007 03 3 0 122.372 150.486
2008 03 3 1 176.941 193.686
2009 03 3 1 147.325 107.407
2010 03 3 1 779.126 466.56
2011 03 3 1 156.138 139.256
2012 03 3 0 269.247 284.303
2013 03 3 0 99.5151 115.386
2014 03 3 0 161.726 194.153
2015 03 3 1 103.267 124.449
2016 03 3 1 134.495 170.834
1982 04 4 0 194.143 150.971
1983 04 4 1 240.802 244.569
1984 04 4 0 98.1186 82.4456
1985 04 4 1 274.855 273.073
1986 04 4 0 158.566 115.61
1987 04 4 1 316.869 275.098
1988 04 4 0 158.535 196.979
1989 04 4 1 193.679 208.059
1990 04 4 0 331.644 301.518
1991 04 4 0 131.013 136.498
1992 04 4 1 661.777 465.931
1993 04 4 1 217.994 219.443
1994 04 4 0 159.669 124.937
1995 04 4 0 261.334 251.41
1996 04 4 0 132.507 122.136
1997 04 4 1 974.708 913.414
1998 04 4 1 361.848 356.393
1999 04 4 1 360.159 428.108
2000 04 4 1 116.626 143.828
2001 04 4 0 448.389 461.461
2002 04 4 0 169.435 121.43
2003 04 4 0 159.024 179.091
2004 04 4 0 171.758 168.961
2005 04 4 1 338.314 313.135
2006 04 4 0 140.553 142.838
2007 04 4 0 426.491 435.977
2008 04 4 1 148.678 151.875
2009 04 4 0 127.811 114.643
2010 04 4 1 260.141 285.632
2011 04 4 1 99.246 95.6795
2012 04 4 0 188.318 313.154
2013 04 4 0 70.6719 81.0658
2014 04 4 0 58.4808 74.09
2015 04 4 1 88.3752 96.0289
2016 04 4 1 243.411 303.771
1982 02 0 0 223.4 221.4
1983 02 0 1 239.6 136.3
1984 02 0 0 95.0 104.8
1985 02 0 1 422.8 1506
1986 02 0 1 479.5 143.4
1987 02 0 1 504.2 538.2
1988 02 0 0 257.5 272.1
1989 02 0 1 338.9 225.8
1990 02 0 0 214.2 156.9
1991 02 0 0 188.9 223.4
1992 02 0 1 3754 842.8
1993 02 0 1 437.7 326.9
1994 02 0 0 193.1 171.4
1995 02 0 1 189.1 253.6
1996 02 0 1 107.4 127.3
1997 02 0 0 2349 147.3
1998 02 0 1 316.2 262.5
1999 02 0 1 190.6 228.5
2000 02 0 1 132.1 143.1
2001 02 0 1 634.5 524.0
2002 02 0 0 278.1 235.3
2003 02 0 1 223.9 180.8
2004 02 0 0 147.0 171.5
2005 02 0 0 447.1 312.8
2006 02 0 1 129.0 130.9
2007 02 0 0 103.7 138.6
2008 02 0 1 197.8 207.5
2009 02 0 1 100.6 104.7
2010 02 0 1 1083 523.5
2011 02 0 1 114.0 122.7
2012 02 0 1 293.2 124.3
2013 02 0 0 65.5 91.9
2014 02 0 0 80.6 91.1
2015 02 0 1 75.2 82.9
2016 02 0 1 119.5 146.6
1982 02 1 0 223.044 301.875
1983 02 1 1 227.268 273.403
1984 02 1 0 115.732 113.67
1985 02 1 1 1660.15 3223.73
1986 02 1 1 183.872 191.129
1987 02 1 1 717.831 730.194
1988 02 1 0 330.25 335.27
1989 02 1 1 211.899 166.363
1990 02 1 0 375.545 194.1
1991 02 1 0 332.327 280.404
1992 02 1 1 755.374 831.749
1993 02 1 1 351.668 362.931
1994 02 1 0 219.261 251.605
1995 02 1 1 312.023 391.585
1996 02 1 1 160.222 154.876
1997 02 1 0 210.54 166.633
1998 02 1 1 384.873 342.095
1999 02 1 1 224.421 163.755
2000 02 1 1 213.307 98.8359
2001 02 1 1 489.777 501.798
2002 02 1 0 281.465 323.416
2003 02 1 1 300.805 230.206
2004 02 1 0 237.112 219.196
2005 02 1 0 536.604 342.262
2006 02 1 1 215.623 158.378
2007 02 1 0 232.285 167.84
2008 02 1 1 152.003 204.703
2009 02 1 1 136.377 114.927
2010 02 1 1 722.981 259.869
2011 02 1 1 113.256 141.088
2012 02 1 1 112.722 123.635
2013 02 1 0 72.0164 108.02
2014 02 1 0 81.3294 118.648
2015 02 1 1 115.934 109.07
2016 02 1 1 203.112 197.15
1982 03 2 0 305.67 250.947
1983 03 2 1 514.136 483.351
1984 03 2 0 203.647 147.663
1985 03 2 1 327.955 361.423
1986 03 2 0 370.195 399.544
1987 03 2 1 650.315 481.4
1988 03 2 0 261.106 271.458
1989 03 2 1 274.306 273.833
1990 03 2 0 266.349 183.245
1991 03 2 0 236.184 173.506
1992 03 2 1 1626.56 3453.14
1993 03 2 1 348.363 403.988
1994 03 2 0 280.962 274.354
1995 03 2 0 301.229 280.582
1996 03 2 0 171.859 158.168
1997 03 2 0 729.646 673.79
1998 03 2 1 372.302 480.701
1999 03 2 1 180.841 174.95
2000 03 2 1 207.774 127.777
2001 03 2 0 527.873 451.708
2002 03 2 0 346.332 260.811
2003 03 2 1 324.833 267.897
2004 03 2 0 273.508 208.719
2005 03 2 0 317.745 451.018
2006 03 2 1 188.71 170.706
2007 03 2 0 161.995 132.235
2008 03 2 1 152.277 204.649
2009 03 2 1 257.632 156.621
2010 03 2 1 678.683 1426.39
2011 03 2 1 134.973 135.216
2012 03 2 0 151.843 338.187
2013 03 2 0 101.219 98.1396
2014 03 2 0 147.865 133.542
2015 03 2 1 114.765 156.938
2016 03 2 1 118.958 186.791
1982 04 3 0 160.078 150.515
1983 04 3 1 205.205 241.356
1984 04 3 0 94.8354 95.5999
1985 04 3 1 266.007 269.419
1986 04 3 0 199.334 133.838
1987 04 3 1 378.468 278.855
1988 04 3 0 162.235 176.316
1989 04 3 1 204.123 195.405
1990 04 3 0 423.891 335.698
1991 04 3 0 116.964 128.62
1992 04 3 1 511.322 470.71
1993 04 3 1 237.689 225.662
1994 04 3 0 167.145 136.761
1995 04 3 0 323.184 247.868
1996 04 3 0 143.366 104.137
1997 04 3 1 923.705 1033.11
1998 04 3 1 345.652 327.893
1999 04 3 1 380.266 424.384
2000 04 3 1 143.24 144.058
2001 04 3 0 388.216 408.76
2002 04 3 0 144.019 138.657
2003 04 3 0 201.078 165.282
2004 04 3 0 168.946 166.246
2005 04 3 1 243.172 269.308
2006 04 3 0 146.939 122.429
2007 04 3 0 468.629 461.623
2008 04 3 1 159.404 153.199
2009 04 3 0 130.71 117.464
2010 04 3 1 287.034 250.284
2011 04 3 1 94.4888 102.639
2012 04 3 0 214.643 286.702
2013 04 3 0 72.8115 88.4098
2014 04 3 0 42.2969 79.9107
2015 04 3 1 61.0191 104.845
2016 04 3 1 218.984 329.252
1982 05 4 1 243.844 226.829
1983 05 4 1 248.314 412.645
1984 05 4 0 139.626 159.199
1985 05 4 0 357.193 235.973
1986 05 4 0 162.516 221.333
1987 05 4 1 579.301 565.785
1988 05 4 1 211.019 275.181
1989 05 4 1 156.846 181.308
1990 05 4 0 272.033 342.237
1991 05 4 1 215.17 335.222
1992 05 4 1 824.37 1097.77
1993 05 4 1 334.842 409.766
1994 05 4 1 162.111 287.284
1995 05 4 0 350.112 408.01
1996 05 4 0 160.265 206.168
1997 05 4 1 758.667 726.174
1998 05 4 1 270.785 477.32
1999 05 4 1 190.232 175.729
2000 05 4 0 147.827 144.772
2001 05 4 0 681.139 798.163
2002 05 4 1 243.454 214.428
2003 05 4 0 192.568 432.197
2004 05 4 0 747.128 529.584
2005 05 4 1 357.332 347.45
2006 05 4 0 129.918 259.328
2007 05 4 0 270.886 379.726
2008 05 4 0 248.97 307.78
2009 05 4 0 454.876 329.539
2010 05 4 0 516.412 400.059
2011 05 4 0 140.006 92.2214
2012 05 4 0 600.094 178.652
2013 05 4 0 570.302 124.011
2014 05 4 1 236.22 101.782
2015 05 4 1 238.954 190.677
2016 05 4 1 467.509 462.105
1982 03 0 0 208.5 223.4
1983 03 0 1 286.8 239.6
1984 03 0 0 73.6 95.0
1985 03 0 1 438.6 422.8
1986 03 0 0 144.2 479.5
1987 03 0 1 511.0 504.2
1988 03 0 0 225.8 257.5
1989 03 0 1 241.2 338.9
1990 03 0 0 582.7 214.2
1991 03 0 0 156.8 188.9
1992 03 0 1 1227 3754
1993 03 0 1 376.7 437.7
1994 03 0 0 174.0 193.1
1995 03 0 0 384.6 189.1
1996 03 0 0 113.5 107.4
1997 03 0 0 2798 2349
1998 03 0 1 568.0 316.2
1999 03 0 1 613.8 190.6
2000 03 0 1 105.5 132.1
2001 03 0 0 750.0 634.5
2002 03 0 0 201.4 278.1
2003 03 0 1 198.4 223.9
2004 03 0 0 225.9 147.0
2005 03 0 0 487.3 447.1
2006 03 0 1 127.5 129.0
2007 03 0 0 852.0 103.7
2008 03 0 1 195.5 197.8
2009 03 0 1 154.5 100.6
2010 03 0 1 451.8 1083
2011 03 0 1 82.0 114.0
2012 03 0 0 379.7 293.2
2013 03 0 0 70.2 65.5
2014 03 0 0 64.2 80.6
2015 03 0 1 98.3 75.2
2016 03 0 1 578.2 119.5
1982 03 1 0 180.507 238.31
1983 03 1 1 441.434 351.814
1984 03 1 0 175.395 167.919
1985 03 1 1 374.101 402.95
1986 03 1 0 355.566 474.609
1987 03 1 1 463.925 747.347
1988 03 1 0 222.822 283.826
1989 03 1 1 330.116 310.03
1990 03 1 0 386.796 235.163
1991 03 1 0 179.65 207.26
1992 03 1 1 3183.38 3087.49
1993 03 1 1 378.967 449.37
1994 03 1 0 198.254 215.122
1995 03 1 0 363.366 238.896
1996 03 1 0 154.773 156.776
1997 03 1 0 999.734 506.997
1998 03 1 1 398.751 288.994
1999 03 1 1 227.55 192.656
2000 03 1 1 119.436 145.635
2001 03 1 0 678.996 485.069
2002 03 1 0 264.145 241.569
2003 03 1 1 199.462 266.732
2004 03 1 0 299.891 161.186
2005 03 1 0 489.355 418.726
2006 03 1 1 215.242 163.882
2007 03 1 0 126.13 139.789
2008 03 1 1 146.587 200.491
2009 03 1 1 215.762 136.44
2010 03 1 1 429.143 1013.26
2011 03 1 1 124.276 161.294
2012 03 1 0 481.508 282.98
2013 03 1 0 87.7393 119.783
2014 03 1 0 135.714 138.847
2015 03 1 1 164.186 128.484
2016 03 1 1 169.244 241.893
1982 04 2 0 201.967 156.534
1983 04 2 1 388.969 242.328
1984 04 2 0 125.034 103.067
1985 04 2 1 290.505 308.278
1986 04 2 0 170.301 115.952
1987 04 2 1 383.949 349.456
1988 04 2 0 176.693 185.949
1989 04 2 1 140.48 205.469
1990 04 2 0 397.809 331.041
1991 04 2 0 151.479 114.491
1992 04 2 1 659.88 461.215
1993 04 2 1 305.2 198.439
1994 04 2 0 158.874 146.21
1995 04 2 0 275.098 249.83
1996 04 2 0 90.829 103.107
1997 04 2 1 690.755 935.065
1998 04 2 1 324.439 357.983
1999 04 2 1 180.111 449.302
2000 04 2 1 76.2134 123.431
2001 04 2 0 289.254 405.631
2002 04 2 0 231.474 138.907
2003 04 2 0 184.644 146.726
2004 04 2 0 260.403 161.917
2005 04 2 1 225.831 255.234
2006 04 2 0 155.337 136.306
2007 04 2 0 418.235 309.82
2008 04 2 1 139.252 129.232
2009 04 2 0 186.159 122.526
2010 04 2 1 290.657 270.368
2011 04 2 1 96.5739 109.71
2012 04 2 0 100.691 316.825
2013 04 2 0 56.8485 73.9489
2014 04 2 0 77.4334 87.1663
2015 04 2 1 97.4127 117.96
2016 04 2 1 271.518 408.103
1982 05 3 1 275.403 285.117
1983 05 3 1 268.323 351.213
1984 05 3 0 134.041 172.293
1985 05 3 0 329.676 297.959
1986 05 3 0 190.48 246.913
1987 05 3 1 489.062 591.353
1988 05 3 1 204.65 279.133
1989 05 3 1 194.466 195.349
1990 05 3 0 313.664 322.299
1991 05 3 1 208.48 315.819
1992 05 3 1 785.696 855.424
1993 05 3 1 462.555 551.966
1994 05 3 1 136.625 217.216
1995 05 3 0 279.006 343.827
1996 05 3 0 148.396 196.942
1997 05 3 1 809.467 780.707
1998 05 3 1 276.892 400.094
1999 05 3 1 224.913 200.174
2000 05 3 0 117.549 122.617
2001 05 3 0 448.052 509.758
2002 05 3 1 264.009 281.852
2003 05 3 0 218.058 287.331
2004 05 3 0 600.043 568.858
2005 05 3 1 324.581 340.337
2006 05 3 0 116.05 188.913
2007 05 3 0 236.912 343.108
2008 05 3 0 202.392 197.032
2009 05 3 0 373.526 358.667
2010 05 3 0 684.504 329.746
2011 05 3 0 126.51 102.264
2012 05 3 0 489.095 237.809
2013 05 3 0 431.205 155.759
2014 05 3 1 219.794 113.976
2015 05 3 1 220.997 175.87
2016 05 3 1 550.608 317.283
1982 06 4 1 212.646 266.641
1983 06 4 1 223.942 1224.93
1984 06 4 0 132.673 134.742
1985 06 4 0 329.003 181.41
1986 06 4 0 367.245 240.264
1987 06 4 1 469.17 826.621
1988 06 4 1 69.299 230.555
1989 06 4 0 301.79 190.689
1990 06 4 0 553.771 436.407
1991 06 4 1 179.432 240.602
1992 06 4 1 807.502 1336.76
1993 06 4 1 467.221 227.403
1994 06 4 1 177.595 388.183
1995 06 4 0 128.489 457.622
1996 06 4 0 45.1338 77.0535
1997 06 4 1 310.931 185.478
1998 06 4 0 177.807 334.878
1999 06 4 1 122.781 119.205
2000 06 4 0 118.072 63.261
2001 06 4 0 477.61 87.7052
2002 06 4 1 196.024 106.964
2003 06 4 0 252.01 221.21
2004 06 4 1 548.931 136.865
2005 06 4 1 308.854 357.629
2006 06 4 0 200.536 155.823
2007 06 4 0 135.24 348.056
2008 06 4 0 149.604 73.7313
2009 06 4 1 329.717 133.206
2010 06 4 0 248.942 187.496
2011 06 4 0 187.398 104.307
2012 06 4 0 283.193 183.511
2013 06 4 0 100.65 138.65
2014 06 4 1 174.538 148.753
2015 06 4 1 372.119 709.328
2016 06 4 0 408.989 2278.9
1982 04 0 0 187.4 208.5
1983 04 0 1 147.1 286.8
1984 04 0 0 51.7 73.6
1985 04 0 1 213.1 438.6
1986 04 0 0 105.8 144.2
1987 04 0 1 346.4 511.0
1988 04 0 0 190.3 225.8
1989 04 0 1 188.1 241.2
1990 04 0 0 278.4 582.7
1991 04 0 0 181.5 156.8
1992 04 0 1 700.3 1227
1993 04 0 1 376.2 376.7
1994 04 0 0 110.3 174.0
1995 04 0 0 230.8 384.6
1996 04 0 0 109.8 113.5
1997 04 0 1 858.4 2798
1998 04 0 1 212.9 568.0
1999 04 0 1 219.6 613.8
2000 04 0 1 98.3 105.5
2001 04 0 0 476.9 750.0
2002 04 0 0 179.4 201.4
2003 04 0 0 108.5 198.4
2004 04 0 0 663.0 225.9
2005 04 0 1 254.0 487.3
2006 04 0 0 118.5 127.5
2007 04 0 0 318.7 852.0
2008 04 0 1 233.9 195.5
2009 04 0 0 413.9 154.5
2010 04 0 1 871.2 451.8
2011 04 0 1 57.7 82.0
2012 04 0 0 130.0 379.7
2013 04 0 0 78.5 70.2
2014 04 0 0 48.4 64.2
2015 04 0 1 99.3 98.3
2016 04 0 1 250.6 578.2
1982 04 1 0 142.455 164.343
1983 04 1 1 290.683 203.158
1984 04 1 0 127.967 86.509
1985 04 1 1 314.248 291.503
1986 04 1 0 145.839 123.785
1987 04 1 1 322.364 290.403
1988 04 1 0 173.476 164.56
1989 04 1 1 150.392 203.347
1990 04 1 0 340.894 335.585
1991 04 1 0 181.584 131.597
1992 04 1 1 565.618 473.401
1993 04 1 1 312.295 228.497
1994 04 1 0 161.359 141.414
1995 04 1 0 283.183 247.837
1996 04 1 0 142.741 109.548
1997 04 1 1 870.612 1149.09
1998 04 1 1 295.529 321.809
1999 04 1 1 317.713 453.713
2000 04 1 1 109.791 128.677
2001 04 1 0 450.495 382.971
2002 04 1 0 195.439 163.97
2003 04 1 0 159.017 147.995
2004 04 1 0 196.197 166.452
2005 04 1 1 289.835 280.769
2006 04 1 0 154.666 124.233
2007 04 1 0 358.59 443.529
2008 04 1 1 137.131 142.346
2009 04 1 0 143.814 120
2010 04 1 1 273.955 227.366
2011 04 1 1 64.9272 81.6967
2012 04 1 0 138.32 305.758
2013 04 1 0 43.6531 86.6189
2014 04 1 0 50.4076 85.4786
2015 04 1 1 174.444 109.38
2016 04 1 1 491.766 370.816
1982 05 2 1 321.627 256.989
1983 05 2 1 358.162 471.921
1984 05 2 0 122.671 170.892
1985 05 2 0 296.905 273.815
1986 05 2 0 180.957 244.841
1987 05 2 1 494.156 627.163
1988 05 2 1 287.635 221.365
1989 05 2 1 159.463 203.777
1990 05 2 0 306.022 356.105
1991 05 2 1 236.98 285.706
1992 05 2 1 805.934 921.557
1993 05 2 1 566.085 509.756
1994 05 2 1 154.724 238.335
1995 05 2 0 248.096 357.209
1996 05 2 0 157.041 194.46
1997 05 2 1 672.594 616.153
1998 05 2 1 436.241 432.479
1999 05 2 1 155.604 192.292
2000 05 2 0 142.321 156.641
2001 05 2 0 547.703 459.449
2002 05 2 1 214.399 282.3
2003 05 2 0 184.267 246.897
2004 05 2 0 611.324 548.669
2005 05 2 1 332.491 323.739
2006 05 2 0 122.27 174.239
2007 05 2 0 287.827 331.611
2008 05 2 0 181.185 219.649
2009 05 2 0 481.45 372.943
2010 05 2 0 769.314 531.168
2011 05 2 0 254.932 125.075
2012 05 2 0 773.562 225.869
2013 05 2 0 424.654 161.834
2014 05 2 1 166.693 100.528
2015 05 2 1 207.994 186.778
2016 05 2 1 452.67 360.088
1982 06 3 1 268.844 144.787
1983 06 3 1 307.422 680.017
1984 06 3 0 94.2194 73.3137
1985 06 3 0 1060.04 210.496
1986 06 3 0 178.241 224.762
1987 06 3 1 551.087 546.06
1988 06 3 1 219.038 146.109
1989 06 3 0 222.246 247.726
1990 06 3 0 811.589 973.352
1991 06 3 1 187.539 249.471
1992 06 3 1 1394.91 917.92
1993 06 3 1 611.629 382.679
1994 06 3 1 485.526 804.374
1995 06 3 0 295.139 331.296
1996 06 3 0 59.1152 46.6505
1997 06 3 1 424.705 157.612
1998 06 3 0 260.762 273.337
1999 06 3 1 251.57 128.715
2000 06 3 0 74.3611 51.0113
2001 06 3 0 455.88 279.588
2002 06 3 1 151.132 143.611
2003 06 3 0 157.545 148.056
2004 06 3 1 288.614 173.923
2005 06 3 1 297.882 195.703
2006 06 3 0 116.728 173.227
2007 06 3 0 576.657 541.819
2008 06 3 0 125.298 127.244
2009 06 3 1 299.378 194.961
2010 06 3 0 462.674 302.1
2011 06 3 0 32.9063 80.5902
2012 06 3 0 375.624 206.919
2013 06 3 0 219.717 146.029
2014 06 3 1 390.256 105.182
2015 06 3 1 247.884 1053.7
2016 06 3 0 153.232 1150.8
1982 07 4 1 176.517 100.781
1983 07 4 0 249.741 153.681
1984 07 4 0 51.9865 80.2718
1985 07 4 0 94.9455 81.3271
1986 07 4 0 283.117 181.569
1987 07 4 1 397.532 810.645
1988 07 4 1 148.02 62.8134
1989 07 4 0 108.632 126.519
1990 07 4 0 99.3927 120.599
1991 07 4 1 117.922 93.1452
1992 07 4 1 470.302 264.981
1993 07 4 1 180.131 137.321
1994 07 4 0 130.031 114.813
1995 07 4 0 182.859 125.888
1996 07 4 0 149.78 60.39
1997 07 4 1 802.891 336.469
1998 07 4 1 87.0945 124.823
1999 07 4 1 137.111 55.3949
2000 07 4 0 125.146 78.0625
2001 07 4 0 121.873 142.924
2002 07 4 1 73.8949 143.09
2003 07 4 0 208.532 168.222
2004 07 4 1 394.904 266.819
2005 07 4 0 229.638 181.09
2006 07 4 0 99.6682 146.007
2007 07 4 0 394.407 280.082
2008 07 4 0 93.1883 88.6087
2009 07 4 1 87.1667 76.8399
2010 07 4 1 205.431 126.502
2011 07 4 0 40.5312 39.7615
2012 07 4 1 42.8715 129.661
2013 07 4 0 27.6253 116.062
2014 07 4 0 41.3076 107.812
2015 07 4 1 96.8251 503.967
2016 07 4 0 165.932 385.587
1982 05 0 1 273.8 187.4
1983 05 0 1 235.4 147.1
1984 05 0 0 41.0 51.7
1985 05 0 0 340.8 213.1
1986 05 0 0 156.6 105.8
1987 05 0 1 539.3 346.4
1988 05 0 1 261.5 190.3
1989 05 0 1 412.8 188.1
1990 05 0 0 1983 278.4
1991 05 0 1 228.6 181.5
1992 05 0 1 674.8 700.3
1993 05 0 1 255.6 376.2
1994 05 0 1 556.2 110.3
1995 05 0 0 435.4 230.8
1996 05 0 0 50.3 109.8
1997 05 0 1 308.9 858.4
1998 05 0 1 122.3 212.9
1999 05 0 1 369.8 219.6
2000 05 0 0 130.9 98.3
2001 05 0 0 379.1 476.9
2002 05 0 1 105.5 179.4
2003 05 0 0 100.5 108.5
2004 05 0 0 238.4 663.0
2005 05 0 1 331.2 254.0
2006 05 0 0 412.2 118.5
2007 05 0 0 2108 318.7
2008 05 0 0 233.8 233.9
2009 05 0 0 230.8 413.9
2010 05 0 0 638.4 871.2
2011 05 0 0 65.4 57.7
2012 05 0 0 394.9 130.0
2013 05 0 0 124.8 78.5
2014 05 0 1 279.5 48.4
2015 05 0 1 1704 99.3
2016 05 0 1 727.1 250.6
1982 05 1 1 821.94 282.824
1983 05 1 1 327.247 340.647
1984 05 1 0 262.388 169.776
1985 05 1 0 278.02 306.4
1986 05 1 0 421.399 231.991
1987 05 1 1 605.825 519.177
1988 05 1 1 204.306 222.234
1989 05 1 1 213.168 221.802
1990 05 1 0 338.63 320.988
1991 05 1 1 288.843 311.644
1992 05 1 1 543.644 1187.4
1993 05 1 1 613.549 476.952
1994 05 1 1 235.964 239.223
1995 05 1 0 202.807 311.834
1996 05 1 0 161.263 197.256
1997 05 1 1 549.006 648.939
1998 05 1 1 202.934 391.66
1999 05 1 1 306.336 223.432
2000 05 1 0 150.322 182.049
2001 05 1 0 419.374 450.583
2002 05 1 1 156.072 322.582
2003 05 1 0 195.268 248.292
2004 05 1 0 214.97 535.128
2005 05 1 1 324.87 366.523
2006 05 1 0 190.756 176.853
2007 05 1 0 303.613 294.13
2008 05 1 0 238.251 214.629
2009 05 1 0 333.45 418.262
2010 05 1 0 405.914 570.618
2011 05 1 0 153.316 144.505
2012 05 1 0 155.791 234.521
2013 05 1 0 143.859 152.524
2014 05 1 1 270.595 99.9595
2015 05 1 1 1672.55 186.996
2016 05 1 1 405.381 296.205
1982 06 2 1 597.27 228.493
1983 06 2 1 183.66 503.112
1984 06 2 0 62.5831 124.823
1985 06 2 0 481.473 251.471
1986 06 2 0 206.444 225.173
1987 06 2 1 423.17 996.169
1988 06 2 1 137.919 143.588
1989 06 2 0 486.689 231.223
1990 06 2 0 1021.86 872.574
1991 06 2 1 185.989 229.932
1992 06 2 1 1192.06 1826.47
1993 06 2 1 610.551 431.679
1994 06 2 1 400.889 533.679
1995 06 2 0 123.314 431.482
1996 06 2 0 41.9468 49.2045
1997 06 2 1 478.798 178.449
1998 06 2 0 108.869 365.914
1999 06 2 1 441.276 134.892
2000 06 2 0 131.236 88.7907
2001 06 2 0 632.81 296.02
2002 06 2 1 127.947 107.111
2003 06 2 0 116.669 102.307
2004 06 2 1 247.079 126.457
2005 06 2 1 218.054 245
2006 06 2 0 179.75 106.643
2007 06 2 0 914.694 418.852
2008 06 2 0 141.505 73.4887
2009 06 2 1 383.262 187.237
2010 06 2 0 478.04 311.693
2011 06 2 0 105.096 57.0905
2012 06 2 0 226.296 210.871
2013 06 2 0 113.982 115.151
2014 06 2 1 152.872 183.058
2015 06 2 1 66.07 685.804
2016 06 2 0 62.0453 457.163
1982 07 3 1 152.736 177.709
1983 07 3 0 229.939 272.382
1984 07 3 0 66.2568 61.5178
1985 07 3 0 98.9911 151.776
1986 07 3 0 238.047 312.129
1987 07 3 1 574.588 226.62
1988 07 3 1 130.678 90.4963
1989 07 3 0 122.121 141.119
1990 07 3 0 127.945 93.4808
1991 07 3 1 139.839 170.695
