Y	M	L	ENSO	(m,m0)_(CV)
2000 03 1 1 1.96895
2001 03 1 0 39.8393
2002 03 1 0 15.1571
2003 03 1 1 13.4121
2004 03 1 0 7.35975
2005 03 1 0 28.6145
2006 03 1 1 34.4917
2007 03 1 0 70.8761
2008 03 1 1 43.5217
2009 03 1 1 89.6027
2010 03 1 1 26.07
2011 03 1 1 41.0344
2012 03 1 0 13.6681
2013 03 1 0 0.585358
2014 03 1 0 2.3827
2015 03 1 1 3.17738
2016 03 1 1 2.69143
1982 04 2 0 18.2548
1983 04 2 1 24.5065
1984 04 2 0 6.07864
1985 04 2 1 51.5755
1986 04 2 0 6.12203
1987 04 2 1 237.85
1988 04 2 0 8.18523
1989 04 2 1 6.65485
1990 04 2 0 89.9493
1991 04 2 0 8.27184
1992 04 2 1 164.289
1993 04 2 1 43.1998
1994 04 2 0 1.79193
1995 04 2 0 0.400158
1996 04 2 0 0.417961
1997 04 2 1 24.7956
1998 04 2 1 26.7651
1999 04 2 1 3.81361
2000 04 2 1 1097.93
2001 04 2 0 100.03
2002 04 2 0 12.0037
2003 04 2 0 6.1899
2004 04 2 0 125.492
2005 04 2 1 54.2444
2006 04 2 0 7.45457
2007 04 2 0 37.2879
2008 04 2 1 7.69681
2009 04 2 0 19.0289
2010 04 2 1 64.1415
2011 04 2 1 10.1442
2012 04 2 0 1.32702
2013 04 2 0 0.402361
2014 04 2 0 1.19066
2015 04 2 1 10.3203
2016 04 2 1 11.4046
1982 05 3 1 23.5668
1983 05 3 1 63.5152
1984 05 3 0 27.9301
1985 05 3 0 67.4773
1986 05 3 0 48.4373
1987 05 3 1 105.301
1988 05 3 1 33.8713
1989 05 3 1 38.5312
1990 05 3 0 86.1717
1991 05 3 1 20.515
1992 05 3 1 182.851
1993 05 3 1 75.5366
1994 05 3 1 6.06265
1995 05 3 0 6.00336
1996 05 3 0 10.3078
1997 05 3 1 46.0571
1998 05 3 1 54.8567
1999 05 3 1 10.7564
2000 05 3 0 28.3572
