Y	M	L	ENSO	(m,m0)_(CV)
1984 03 0 0 0.614 0.191
1985 03 0 1 316.1 72.2
1986 03 0 0 1.99 4.85
1987 03 0 1 139.6 147.5
1988 03 0 0 35.6 66.0
1989 03 0 1 2.71 0.354
1990 03 0 0 221.6 0.0
1991 03 0 0 3.54 62.8
1992 03 0 1 912.6 912.8
1993 03 0 1 111.6 87.3
1994 03 0 0 19.4 0.0
1995 03 0 0 10.1 2.73
1996 03 0 0 0.0 0.0
1997 03 0 0 80.9 10.4
1998 03 0 1 26.1 3.04
1999 03 0 1 263.6 106.4
2000 03 0 1 35.9 2.77
2001 03 0 0 93.3 89.9
2002 03 0 0 9.59 56.5
2003 03 0 1 63.5 80.9
2004 03 0 0 299.0 88.6
2005 03 0 0 469.1 232.2
2006 03 0 1 0.132 0.171
2007 03 0 0 5.35 13.0
2008 03 0 1 17.5 56.0
2009 03 0 1 0.000 0.059
2010 03 0 1 10.2 257.3
2011 03 0 1 0.163 0.838
2012 03 0 0 49.3 0.0
2013 03 0 0 0.0 13.0
2014 03 0 0 0.150 0.195
2015 03 0 1 42.4 0.0
2016 03 0 1 13.8 6.30
1982 03 1 0 26.7447
1983 03 1 1 2.5979
1984 03 1 0 3.88787
1985 03 1 1 37.3115
1986 03 1 0 15.5366
1987 03 1 1 57.2406
1988 03 1 0 13.9974
1989 03 1 1 0.356412
1990 03 1 0 0.147353
1991 03 1 0 36.9482
1992 03 1 1 205.211
1993 03 1 1 23.4934
1994 03 1 0 0.147498
1995 03 1 0 40.3003
1996 03 1 0 1.66102
1997 03 1 0 2.80332
1998 03 1 1 0.853976
1999 03 1 1 10.6706
2000 03 1 1 1.1426
2001 03 1 0 72.6696
2002 03 1 0 15.2437
2003 03 1 1 114.383
2004 03 1 0 5.40152
2005 03 1 0 193.636
2006 03 1 1 0.509239
2007 03 1 0 8.56096
2008 03 1 1 0.967732
2009 03 1 1 0.912421
2010 03 1 1 40.843
2011 03 1 1 0.0898362
2012 03 1 0 0.41262
2013 03 1 0 11.1398
2014 03 1 0 5.83019
2015 03 1 1 3.90534
2016 03 1 1 18.2048
1982 04 2 0 100.529
1983 04 2 1 0.304498
1984 04 2 0 0.478966
1985 04 2 1 757.559
1986 04 2 0 0.954856
1987 04 2 1 695.82
1988 04 2 0 4.86575
1989 04 2 1 1.2383
1990 04 2 0 219.611
1991 04 2 0 2.27117
1992 04 2 1 1290.29
1993 04 2 1 55.8589
1994 04 2 0 2.01079
1995 04 2 0 4.27823
1996 04 2 0 7.82957e-06
1997 04 2 1 43.2051
1998 04 2 1 1.9014
1999 04 2 1 38.8371
2000 04 2 1 3.42871
2001 04 2 0 146.876
2002 04 2 0 3.85726
2003 04 2 0 130.122
2004 04 2 0 62.572
2005 04 2 1 122.541
2006 04 2 0 0.0200302
2007 04 2 0 1.03113
2008 04 2 1 0.528686
2009 04 2 0 0.000341799
2010 04 2 1 29.21
2011 04 2 1 0.0444112
2012 04 2 0 13.0605
2013 04 2 0 4.9444e-05
2014 04 2 0 0.055504
2015 04 2 1 87.174
2016 04 2 1 33.361
1982 05 3 1 52.4681
1983 05 3 1 0.44868
1984 05 3 0 1.00847
1985 05 3 0 6445.98
1986 05 3 0 32.244
1987 05 3 1 48.0877
1988 05 3 1 49.829
1989 05 3 1 27.9299
1990 05 3 0 896.87
1991 05 3 1 25.5887
1992 05 3 1 65.8294
1993 05 3 1 102.562
1994 05 3 1 7.52758
1995 05 3 0 17.8321
1996 05 3 0 0.325429
1997 05 3 1 2981.9
1998 05 3 1 8.81106
1999 05 3 1 204.284
2000 05 3 0 15.552
2001 05 3 0 301.988
2002 05 3 1 2.88354
2003 05 3 0 295.732
2004 05 3 0 639.15
2005 05 3 1 20.0558
2006 05 3 0 4.18567
2007 05 3 0 11.8648
2008 05 3 0 2.30183
2009 05 3 0 0.00462704
2010 05 3 0 65.7489
2011 05 3 0 0.0267898
2012 05 3 0 96.7141
2013 05 3 0 0.0148142
2014 05 3 1 0.981121
2015 05 3 1 439.669
2016 05 3 1 5.67425
1982 06 4 1 244.551
1983 06 4 1 2.80256
1984 06 4 0 6.51793
1985 06 4 0 250.387
1986 06 4 0 22.1881
1987 06 4 1 663.248
1988 06 4 1 39.8014
