Y M L ENSO 0.0001 0.0001
2002 05 4 1 24.499 28.7779
2003 05 4 0 25.3433 93.4857
2004 05 4 0 41.6169 32.2953
2005 05 4 1 74.0474 78.8077
2006 05 4 0 18.1846 46.4509
2007 05 4 0 58.2248 51.5623
2008 05 4 0 36.1128 17.427
2009 05 4 0 15.3852 12.6846
2010 05 4 0 41.6316 44.5823
2011 05 4 0 7.55299 14.5378
2012 05 4 0 25.1247 29.7915
2013 05 4 0 66.1025 28.704
2014 05 4 1 68.4317 33.3978
2015 05 4 1 321.14 86.3817
2016 05 4 1 106.741 113.352
1982 03 0 0 21.4 23.0
1983 03 0 1 13.9 41.9
1984 03 0 0 6.31 13.9
1985 03 0 1 59.2 57.5
1986 03 0 0 8.48 17.9
1987 03 0 1 109.0 124.1
1988 03 0 0 11.8 16.2
1989 03 0 1 9.39 29.6
1990 03 0 0 111.0 11.0
1991 03 0 0 6.23 14.3
1992 03 0 1 123.7 427.4
1993 03 0 1 33.6 47.1
1994 03 0 0 1.23 3.27
1995 03 0 0 0.042 0.038
1996 03 0 0 0.206 0.728
1997 03 0 0 30.5 142.6
1998 03 0 1 20.6 9.54
1999 03 0 1 2.89 0.005
2000 03 0 1 685.0 1.89
2001 03 0 0 114.6 81.4
2002 03 0 0 27.3 9.27
2003 03 0 1 5.66 9.79
2004 03 0 0 185.1 5.35
2005 03 0 0 78.3 88.5
2006 03 0 1 14.4 12.3
2007 03 0 0 76.3 34.0
2008 03 0 1 8.70 13.8
2009 03 0 1 16.5 23.9
2010 03 0 1 58.4 51.0
2011 03 0 1 15.2 23.8
2012 03 0 0 1.58 1.93
2013 03 0 0 0.303 1.08
2014 03 0 0 4.31 10.7
2015 03 0 1 23.9 29.5
2016 03 0 1 20.4 25.6
1982 03 1 0 19.8574 14.7964
1983 03 1 1 39.092 14.8056
1984 03 1 0 14.4688 21.1998
1985 03 1 1 50.8298 44.3437
1986 03 1 0 32.5338 12.2901
1987 03 1 1 53.6076 64.3781
1988 03 1 0 15.9294 15.9885
1989 03 1 1 31.0011 84.3511
1990 03 1 0 27.887 10.2606
1991 03 1 0 12.5044 11.5141
1992 03 1 1 161.419 119.083
1993 03 1 1 18.3043 21.8612
1994 03 1 0 9.71168 7.37182
1995 03 1 0 3.85226 3.01033
1996 03 1 0 4.93767 5.38756
1997 03 1 0 56.3775 46.9855
1998 03 1 1 6.13481 9.88481
1999 03 1 1 0.0123708 0.0278672
2000 03 1 1 1.96895 2.60219
2001 03 1 0 39.8393 57.3362
2002 03 1 0 15.1571 8.26784
2003 03 1 1 13.4121 10.6257
2004 03 1 0 7.35975 6.13267
2005 03 1 0 28.6145 48.2653
2006 03 1 1 34.4917 9.33572
2007 03 1 0 70.8761 27.6393
2008 03 1 1 43.5217 21.1629
2009 03 1 1 89.6027 28.6601
2010 03 1 1 26.07 71.462
2011 03 1 1 41.0344 31.9197
2012 03 1 0 13.6681 11.1217
2013 03 1 0 0.585358 4.78901
2014 03 1 0 2.3827 9.22363
2015 03 1 1 3.17738 21.2956
2016 03 1 1 2.69143 25.8543
1982 04 2 0 18.2548 29.3768
1983 04 2 1 24.5065 13.0441
1984 04 2 0 6.07864 5.51351
1985 04 2 1 51.5755 42.716
1986 04 2 0 6.12203 7.15187
1987 04 2 1 237.85 58.4395
1988 04 2 0 8.18523 9.4389
