Y	M	L	ENSO	(m,m0)_(CV)
1992 04 2 1 148.541
1993 04 2 1 44.6352
1994 04 2 0 3.64392
1995 04 2 0 1.84336
1996 04 2 0 1.77109
1997 04 2 1 98.8058
1998 04 2 1 25.0234
1999 04 2 1 2.75546
2000 04 2 1 596.048
2001 04 2 0 82.2749
2002 04 2 0 1.54552
2003 04 2 0 4.66503
2004 04 2 0 80.7466
2005 04 2 1 11.8647
2006 04 2 0 26.8653
2007 04 2 0 28.6373
2008 04 2 1 9.42357
2009 04 2 0 16.008
2010 04 2 1 20.169
1984 05 3 0 74.929
1985 05 3 0 263.175
1986 05 3 0 56.1182
1987 05 3 1 218.675
1988 05 3 1 25.8284
1989 05 3 1 23.3842
1990 05 3 0 75.6517
1991 05 3 1 30.3193
1992 05 3 1 276.463
1993 05 3 1 55.1834
1994 05 3 1 12.013
1995 05 3 0 7.53002
1996 05 3 0 12.5145
1997 05 3 1 57.6135
1998 05 3 1 151.633
1999 05 3 1 3.12171
2000 05 3 0 26.9459
2001 05 3 0 79.1194
2002 05 3 1 76.8418
2003 05 3 0 48.6997
2004 05 3 0 84.1212
2005 05 3 1 50.01
2006 05 3 0 33.989
2007 05 3 0 28.3693
2008 05 3 0 13.8198
2009 05 3 0 30.9046
2010 05 3 0 136.571
1984 06 4 0 737.914
1985 06 4 0 588.334
1986 06 4 0 68.6668
1987 06 4 1 114.625
1988 06 4 1 50.7276
1989 06 4 0 67.6795
1990 06 4 0 124.04
1991 06 4 1 84.1548
1992 06 4 1 138.199
1993 06 4 1 219.238
1994 06 4 1 90.776
1995 06 4 0 181.913
1996 06 4 0 43.67
1997 06 4 1 190.619
1998 06 4 0 141.113
1999 06 4 1 58.8124
2000 06 4 0 54.3576
2001 06 4 0 116.945
2002 06 4 1 127.49
2003 06 4 0 31.0436
2004 06 4 1 36.3067
2005 06 4 1 99.9539
2006 06 4 0 308.479
2007 06 4 0 306.027
2008 06 4 0 133.67
2009 06 4 1 108.958
2010 06 4 0 177.491
1984 04 0 0 1.26 6.31
1985 04 0 1 254.0 59.2
1986 04 0 0 78.5 8.48
1987 04 0 1 32.5 109.0
1988 04 0 0 15.1 11.8
1989 04 0 1 12.5 9.39
1990 04 0 0 301.5 111.0
1991 04 0 0 2.63 6.23
1992 04 0 1 151.3 123.7
1993 04 0 1 7.59 33.6
1994 04 0 0 1.02 1.23
1995 04 0 0 0.033 0.042
1996 04 0 0 0.383 0.206
1997 04 0 1 252.5 30.5
1998 04 0 1 5.42 20.6
1999 04 0 1 0.622 2.89
2000 04 0 1 56.1 685.0
2001 04 0 0 28.8 114.6
2002 04 0 0 39.9 27.3
2003 04 0 0 4.61 5.66
2004 04 0 0 165.0 185.1
2005 04 0 1 37.6 78.3
2006 04 0 0 17.2 14.4
2007 04 0 0 134.9 76.3
2008 04 0 1 86.2 8.70
2009 04 0 0 22.3 16.5
2010 04 0 1 339.2 58.4
1984 04 1 0 3.58596
1985 04 1 1 76.5013
1986 04 1 0 319.515
1987 04 1 1 45.64
1988 04 1 0 5.75942
1989 04 1 1 5.66566
1990 04 1 0 438.161
1991 04 1 0 2.01231
1992 04 1 1 334.076
1993 04 1 1 23.326
1994 04 1 0 2.7926
